abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Boston,Non-rural,,,"$1,191,030",Massachusetts,Massachusetts General Hospital,"Atlas, Steven J.",https://healthit.ahrq.gov/ahrq-funded-projects/technology-optimizing-population-care-resource-limited-environment,Closed,Adults,Clinical Decision Support (CDS) System,Technology for Optimizing Population Care in a Resource-Limited Environment (Massachusetts)
,Prevention,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Mentored Clinical Scientist Research Career Development Award (K08),Rochester,Non-rural,,,"$742,407",New York,University of Rochester,"Rand, Cynthia M.",https://healthit.ahrq.gov/ahrq-funded-projects/using-health-information-technology-improve-delivery-hpv-vaccine,Closed,Adults;Inner City;Pediatric;Teenagers;Women,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Short Message System (SMS),Using Health Information Technology to Improve Delivery of HPV Vaccine (New York)
,Prevention;Primary Care,Ambulatory;Outpatient Clinic,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Hanover,Non-rural;Rural,,,"$299,095",New Hampshire,Dartmouth College,"Olson, Ardis L.",https://healthit.ahrq.gov/ahrq-funded-projects/healthy-teens-txt-me-information-technology-change-teen-health-risk-behaviors,Closed,Obesity;Pediatric;Teenagers,Internet Social Networking;Internet;PDA (Personal Digital Assistant);Short Message System (SMS),Healthy Teens TXT ME: Information Technology to Change Teen Health Risk Behaviors (New Hampshire)
,Chronic Disease Management;Patient Education;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Boston,Non-rural,,,"$1,135,115",Massachusetts,Brigham and Women's Hospital,"Sequist, Thomas D.",https://healthit.ahrq.gov/ahrq-funded-projects/risk-based-approach-improving-management-chronic-kidney-disease,Closed,Chronic Care;Kidney Disease,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),A Risk Based Approach to Improving Management of Chronic Kidney Disease (Massachusetts)
,Chronic Disease Management;Prevention,Ambulatory;Family Medicine;Inpatient;Internal Medicine;Primary Care;Veteran Affairs Medical Center,Mentored Clinical Scientist Research Career Development Award (K08),Salt Lake City,Non-rural;Rural,,,"$786,585",Utah,University of Utah,"Lafleur, Joanne",https://healthit.ahrq.gov/ahrq-funded-projects/knowledge-engineering-decision-support-osteoporosis,Ongoing,Adults;Osteoporosis;Veterans,Clinical Decision Support (CDS) System,Knowledge Engineering for Decision Support in Osteoporosis (Utah)
,Chronic Disease Management,Ambulatory,AHRQ Grants for Health Services Research Dissertation (R36),Madison,Non-rural,,,"$33,914",Wisconsin,University of Wisconsin - Madison,"Valdez, Rupa Sheth",https://healthit.ahrq.gov/ahrq-funded-projects/creating-foundation-design-culturally-informed-health-information-technology,Closed,General,Consumer Informatics,Creating a Foundation for the Design of Culturally-Informed Health Information Technology (Wisconsin)
,Acute Care,Emergency Department (ED)/Emergency Room (ER),Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Salt Lake City,Non-rural,,,"$272,662",Utah,University of Utah,"Cummins, Mollie Rebecca",https://healthit.ahrq.gov/ahrq-funded-projects/supporting-continuity-care-poisonings-electronic-information-exchange,Closed,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Supporting Continuity of Care for Poisonings with Electronic Information Exchange (Utah)
,Care Coordination,Academic Medical Center;Ambulatory;Community Health Center;Family Medicine;Internal Medicine;Primary Care,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Amherst,Non-rural;Rural,,,"$100,000",Massachusetts,University of Massachusetts Amherst,"Balasubramanian, Hari",https://healthit.ahrq.gov/ahrq-funded-projects/improving-patient-access-and-patient-clinician-continuity-through-panel,Closed,General,Clinical Decision Support (CDS) System,Improving Patient Access and Patient-Clinician Continuity Through Panel Redesign (Massachusetts)
,Acute Care;Care Coordination;Chronic Disease Management;Medication Management;Prevention;Primary Care;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Inpatient,National Resource Center for Health IT (NRC),Rockville,Non-rural;Rural,290-09-00023I-3,,"$4,749,999",Maryland,Westat,"Finley, Scott",https://healthit.ahrq.gov/ahrq-funded-projects/development-electronic-health-record-format-children,Closed,Medicaid;Pediatric,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Development of an Electronic Health Record Format for Children (Maryland)
,Patient Education,Ambulatory;Family Medicine;Internal Medicine;Primary Care;Specialty Practice,Utilizing Health Information Technology (IT) to Improve Health Care Quality (R18),Boston,Non-rural;Rural,,,"$626,430",Massachusetts,Brigham and Women's Hospital,"Bates, David",https://healthit.ahrq.gov/ahrq-funded-projects/improving-uptake-and-use-personal-health-records,Closed,Adults,Personal Health Record (PHR),Improving Uptake and Use of Personal Health Records (Massachusetts)
,Medication Management,Ambulatory,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Charleston,Non-rural;Rural,,,"$100,000",South Carolina,Medical University of South Carolina,"Basco, William",https://healthit.ahrq.gov/ahrq-funded-projects/assessment-pediatric-look-alike-sound-alike-substitution-errors,Closed,Pediatric,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE),"Assessment of Pediatric Look-Alike, Sound-Alike Substitution Errors (South Carolina)"
,Primary Care;Quality Measurement/Quality Improvement,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Small Research Grant to Improve Health Care Quality through Health Information Technology (IT) (R03),Charleston,Non-rural;Rural,,,"$99,861",South Carolina,Medical University of South Carolina,"Nemeth, Lynne",https://healthit.ahrq.gov/ahrq-funded-projects/synthesizing-lessons-learned-using-health-information-technology,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Synthesizing Lessons Learned Using Health Information Technology (South Carolina)
,Protected Health Information Data Sharing,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Denver,Non-rural;Rural,,,"$295,211",Colorado,"University of Colorado, Denver","Nease, Donald",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-exchange-and-ambulatory-test-utilization,Closed,General,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Health Information Exchange and Ambulatory Test Utilization (Colorado)
,Improving Care Across Transitions of Care;Protected Health Information Data Sharing,Ambulatory;Emergency Department (ED)/Emergency Room (ER);Laboratory,AHRQ Health Services Research Demonstration and Dissemination Grants (R18),Danville,Rural,,,"$455,197",Pennsylvania,Geisinger Health System,"Wood, Kenneth",https://healthit.ahrq.gov/ahrq-funded-projects/improving-rural-healthcare-transitions-through-health-information-exchange,Ongoing,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Improving Rural Healthcare Transitions Through Health Information Exchange (Pennsylvania)
,Chronic Disease Management;Patient Education;Primary Care,Ambulatory,Inter-Agency Agreement,Rockville,Non-rural;Rural,10-663F-10,,"$300,000",Maryland,Indian Health Service,"Lamer, Christopher",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-support-integration-self-management-support,Closed,Adults;Chronic Care;Racial/Ethnic Minorities;Racial/Ethnic Minorities: Alaska Native;Racial/Ethnic Minorities: American Indian,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),Health Information Technology to Support Integration of Self-Management Support in Primary Care Delivery (Maryland)
,Care Coordination;Patient Education,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Chicago,Non-rural;Rural,,,"$300,000",Illinois,University of Illinois at Chicago,"Rimmer, James Howard",https://healthit.ahrq.gov/ahrq-funded-projects/improving-health-care-quality-through-health-information-technology-it-people,Closed,Adults;Persons with Disabilities,Personal Health Record (PHR),Improving Health Care Quality Through Health Information Technology (IT) for People With Intellectual Disabilities (Illinois)
,Patient Education;Prevention;Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Exploratory and Developmental Grant to Improve Health Care Quality through Health Information Technology (IT) (R21),Richmond,Non-rural;Rural,,,"$293,678",Virginia,Virginia Commonwealth University,"Krist, Alexander H",https://healthit.ahrq.gov/ahrq-funded-projects/promoting-use-integrated-personal-health-record-prevention,Closed,Adults,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Personal Health Record (PHR),Promoting Use of an Integrated Personal Health Record for Prevention (Virginia)
,Acute Care;Care Coordination;Chronic Disease Management;Medication Management;Prevention;Primary Care;Protected Health Information Data Sharing;Specialty Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,Medicaid/CHIP Technical Assistance Contract,Research Triangle Park,Non-rural;Rural,290-07-10079-2,,"$396,722",North Carolina,RTI International,"Thompson, Chuck",https://healthit.ahrq.gov/ahrq-funded-projects/barriers-meaningful-use-medicaid,Closed,Adults;Medicaid;Pediatric;Safety Net,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Barriers to Meaningful Use in Medicaid (North Carolina)
,Specialty Care,Ambulatory;Dental Practice,Medicaid/CHIP Technical Assistance Contract,Bethesda,Non-rural;Rural,290-07-10039T-1,,"$89,861",Maryland,National Opinion Research Center at the University of Chicago,"Austein-Casnoff, Cheryl",https://healthit.ahrq.gov/ahrq-funded-projects/quality-oral-health-care-through-health-information-technology,Closed,Medicaid;Pediatric,EDental Record (EDR),Quality Oral Health Care through Health Information Technology (Maryland)
,Patient Education;Primary Care,Ambulatory;Inpatient,National Resource Center for Health IT (NRC),Cambridge,Non-rural;Rural,290-09-00012I-4,,"$524,945",Massachusetts,"Abt Associates, Inc.","Shoemaker, Sarah",https://healthit.ahrq.gov/ahrq-funded-projects/improving-electronic-health-records-patient-education-materials,Closed,Low Literacy,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Improving Electronic Health Records Patient Education Materials (Massachusetts)
,Acute Care,Emergency Department (ED)/Emergency Room (ER),AHRQ Health Services Research Projects (R01),New Haven,Non-rural,,,"$1,986,519",Connecticut,Yale University,"Post, Lori",https://healthit.ahrq.gov/ahrq-funded-projects/ed-disability-diagnostic-tool-hit-feasibility-study,Ongoing,Elderly;Persons with Disabilities,Clinical Decision Support (CDS) System,ED Disability Diagnostic Tool: An HIT Feasibility Study (Connecticut)
,Primary Care,Ambulatory;Family Medicine;Internal Medicine;Primary Care,National Resource Center for Health IT (NRC),Rockville,Non-rural;Rural,290-09-00023I-6,,"$286,513",Maryland,Westat,"Waldren, Steven",https://healthit.ahrq.gov/ahrq-funded-projects/patient-centered-medical-home-information-model,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Patient-Centered Medical Home Information Model (Maryland)
,Primary Care,Ambulatory;Inpatient,National Resource Center for Health IT (NRC),Rockville,Non-rural;Rural,290-09-00023I-7,,"$376,101",Maryland,Westat,"Johnson, Constance",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-health-record-information-design-and-usability-toolkit,Closed,Adults;Elderly;Men;Pediatric;Women,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Electronic Health Record Information Design and Usability Toolkit (Maryland)
,Quality Measurement/Quality Improvement,,Accelerating Change and Transformation in Organizations and Networks (ACTION),Danville,,290-06-00011I-14,,"$763,135",Pennsylvania,"Abt Associates, Inc.","Walker, James",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-hazard-manager,Closed,General,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Health Information Technology Hazard Manager (Pennsylvania)
,Primary Care;Specialty Care,Ambulatory;Home;Inpatient,National Resource Center for Health IT (NRC),Rockville,Non-rural;Rural,290-09-00023I-10,,"$409,388",Maryland,Westat,"Montague, Enid",https://healthit.ahrq.gov/ahrq-funded-projects/understanding-development-methods-other-industries-improve-design-consumer,Closed,General,Consumer Informatics,Understanding Development Methods from Other Industries to Improve the Design of Consumer Health Information Technology (Maryland)
